Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Close Date,Closing Date,FTE,Pay Rate
Temporary Faculty - Health Science,0600106,Academic Office,0,Filled,"June 11, 2009 at 01:06 PM",7,1,Open Until Filled,,,Dependent on Education and Experience
Library Assistant II,,McKay Library,0,Filled,"November 24, 2009 at 08:19 AM",3,0,Oct 22,22.10.2009,1,"Pay scale begins at $28,000/yr; employees should consult with HR for more specific information"
Full-time Faculty - Theatre,0600094,Academic Office,0,Filled,"June 11, 2009 at 01:11 PM",15,1,Apr 01,01.04.2009,,Dependent on Education and Experience
Adjunct Faculty - Theatre,,Academic Office,1,Filled,"February 02, 2010 at 08:36 AM",2,0,Open Until Filled,,,Dependent on Education and Experience
Buyer,,Purchasing & Travel,0,Filled,"December 17, 2009 at 04:55 PM",10,0,Oct 22,22.10.2009,1,"Pay scale begins at $44,000/yr; employees should consult with HR for more specific information"
"Online Adjunct Faculty--Religion, Book of Mormon (2 openings)",0600084,Continuing Education,0,Filled,"February 10, 2009 at 05:08 PM",33,0,Jan 22,22.01.2009,,Paid $750 per course credit hour
IT Infrastructure Director,,Infrastructure,0,Filled,"December 17, 2009 at 04:48 PM",1,0,Nov 30,30.11.2009,1,"Pay scale minimum begins at $74,700/yr; experience considered in offer"
Temporary Faculty - Geography,0600103,Academic Office,0,Filled,"June 11, 2009 at 01:08 PM",5,0,Open Until Filled,,,Dependent on Education and Experience
Entry Level Cook,0600102,University Food Services,0,Filled,"April 08, 2009 at 09:46 AM",16,0,Mar 16,16.03.2009,1.0,Minimum base is $8.34/hr; offer will consider relevant experience
Office Assistant I,0600195,Continuing Education,0,Filled,"December 16, 2009 at 04:49 PM",51,0,Dec 01,01.12.2009,.50,Pay scale starts at a minimum of $12.51/hr
Online Adjunct Faculty--Art,0600085,Continuing Education,0,Cancelled,"February 10, 2009 at 05:09 PM",5,0,Jan 22,22.01.2009,,Paid $750 per course credit hour
Adjunct Faculty - Exercise & Sports Science,,Academic Office,0,Filled,"February 02, 2010 at 08:29 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDWLD 101 World Foundations,0600192,Online Learning Administration,0,Filled,"April 21, 2011 at 03:23 PM",31,1,Open Until Filled,,,
Online Adjunct Faculty--FDENG 101,,Continuing Education,0,Filled,"June 29, 2009 at 11:52 AM",1,0,Jun 05,05.06.2009,,Paid $750 per course credit hour
Online Adjunct Faculty--World Foundations,0600082,Continuing Education,0,Filled,"February 10, 2009 at 05:07 PM",14,0,Jan 22,22.01.2009,,Paid $750 per course credit hour
Full-time Faculty - Cognitive Psychology,0600198,Academic Office,0,Filled,"October 28, 2010 at 03:57 PM",10,1,Jan 31,31.01.2010,,Dependent on education and experience.
Full-time Faculty - Psychology,0600196,Academic Office,0,Cancelled,"March 19, 2010 at 04:09 PM",28,1,Mar 15,15.03.2010,,Dependent on Education and Experience
Full-time Faculty - Horticulture,0600199,Academic Office,0,Filled,"October 28, 2010 at 03:37 PM",13,0,Mar 15,15.03.2010,,Dependent on education and experience.
Online Adjunct Faculty--World Foundations 101,0600109,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",12,0,Jun 01,01.06.2009,,
Online Adjunct Faculty--FAML 300 Marriage,0600124,Continuing Education,2,Filled,"July 30, 2009 at 11:56 AM",45,0,Jun 25,25.06.2009,,
Online Adjunct Faculty--Humanities Foundations 101,0600110,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",15,0,Jun 01,01.06.2009,,$750 per credit hour
Online Adjunct Faculty--Drawing I (ART 110),0600087,Continuing Education,0,Filled,"April 20, 2009 at 10:03 AM",7,0,Mar 16,16.03.2009,,$750 per credit hour
Cook (2 Openings),0600202,University Food Services,0,Filled,"February 10, 2010 at 08:46 AM",38,0,Jan 18,18.01.2010,1,Payscale begins at a minimum of $11.28/hr
Adjunct Faculty - English,,Academic Office,0,Filled,"February 02, 2010 at 08:28 AM",4,0,Open Until Filled,,,Dependent on Education and Experience
Business Intelligence Analyst,0600203,Software Engineering,0,Filled,"February 10, 2010 at 08:55 AM",6,2,Jan 18,18.01.2010,1,"Payscale starts at $57,000; experience & skills considered for offer"
Full-time Faculty - Nursing,0600201,Academic Office,0,Filled,"October 28, 2010 at 03:18 PM",6,1,Feb 14,14.02.2010,,Dependent on education and experience.
Online Adjunct Faculty--American Foundations,0600095,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",21,0,Mar 16,16.03.2009,,$750 per credit hour
Full-time Faculty - English,0600207,Academic Office,0,Filled,"October 28, 2010 at 03:38 PM",15,1,Feb 14,14.02.2010,,Dependent on education and experience.
Housing Complex Assistant,0600112,Housing & Student Living,0,Cancelled,"April 22, 2009 at 03:59 PM",0,0,Apr 28,28.04.2009,.50,Reduced rent ($385/month) and a stipend of $675/month
Full-time Faculty - Religious Education,0600208,Academic Office,0,Filled,"April 19, 2010 at 08:02 AM",41,1,Feb 14,14.02.2010,,Dependent on education and experience.
Online Adjunct Faculty--Math for the Real World,0600097,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",13,0,Mar 16,16.03.2009,,$750 per credit hour
Online Adjunct Faculty--GS 105 College Success Online,0600114,Continuing Education,0,Filled,"June 11, 2009 at 10:06 AM",53,3,Jun 01,01.06.2009,1,$750 per credit hour
Temporary Faculty - Mathematics,0600105,Academic Office,0,Filled,"September 22, 2009 at 02:32 PM",12,2,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--English 450,0600108,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",16,0,Jun 01,01.06.2009,,Paid $750 per course credit hour
Learn to Swim Program Director,0600104,Continuing Education,0,Filled,"April 22, 2009 at 04:00 PM",4,0,Apr 13,13.04.2009,,"$1,560 salary for swim season"
Online Adjunct Faculty--SOC 111 Intro to Sociology,0600113,Continuing Education,0,Filled,"June 11, 2009 at 09:45 AM",30,0,Jun 01,01.06.2009,,$750 per credit hour
Online Adjunct Faculty--World Foundations (2 Openings),0600099,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",12,0,Mar 16,16.03.2009,,$750 per credit hour
Online Adjunct Faculty--Recruiting List,0600111,Continuing Education,784,Closed,"January 26, 2010 at 02:41 PM",853,9,Open Until Filled,,,
Adjunct Faculty - Academic Learning,,Academic Office,0,Filled,"February 02, 2010 at 08:25 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--Professional Communication,0600096,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",23,0,Mar 16,16.03.2009,,$750 per credit hour
Temporary Faculty - Art,0600116,Academic Office,0,Filled,"February 04, 2010 at 08:59 AM",6,0,Open Until Filled,,,Dependent on Education and Experience
Nurse Practitioner,0600210,Student Health Center,0,Filled,"April 15, 2010 at 08:57 AM",4,0,Feb 08,08.02.2010,.75,"Based on reduced yearly schedule due to academic breaks: payscale starts at $54,810, offer DOE"
Online Adjunct Faculty--FDWLD 101 World Foundations,0600140,Online Learning Administration,0,Filled,"July 30, 2009 at 10:25 AM",14,0,Jun 25,25.06.2009,,
Bakery Supervisor,0600211,University Food Services,0,Filled,"February 10, 2010 at 08:57 AM",7,0,Jan 26,26.01.2010,1,"Payscale begins at $35,650/yr"
Adjunct Faculty - Nursing,0600117,Academic Office,0,Cancelled,"May 08, 2009 at 04:38 PM",0,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--SPAN 101 Beginning Spanish I,0600128,Continuing Education,0,Filled,"July 29, 2009 at 05:23 PM",22,1,Jun 25,25.06.2009,,
Temporary Faculty - Art,0600229,Academic Office,0,Filled,"October 28, 2010 at 02:58 PM",4,1,Open Until Filled,,,Dependent on Education and Experience
Online Degrees Manager,0600219,Online Learning Administration,0,Filled,"June 16, 2010 at 09:08 AM",65,1,Feb 24,24.02.2010,1,"Pay scale begins at $50,650/yr"
Online Adjunct Faculty--B 129: Office Procedures,0600223,Online Learning Administration,0,Filled,"April 21, 2011 at 03:21 PM",37,0,Open Until Filled,,,
Online Adjunct Faculty--FDREL 301 Old Testament,0600127,Continuing Education,2,Filled,"May 01, 2015 at 04:48 PM",26,0,Jun 25,25.06.2009,,
Online Adjunct Faculty--B341 Marketing Management,0600120,Continuing Education,0,Filled,"July 30, 2009 at 11:05 AM",18,0,Jun 25,25.06.2009,,
Adjunct Faculty - Teacher Education,,Academic Office,0,Filled,"February 02, 2010 at 08:35 AM",2,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Nursing,,Academic Office,0,Filled,"June 23, 2009 at 09:13 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--ACCTG 202: Managerial Accounting,0600217,Online Learning Administration,0,Filled,"April 21, 2011 at 03:22 PM",25,0,Open Until Filled,,,
Online Adjunct Faculty--B361 Operations Management,0600121,Continuing Education,0,Filled,"July 30, 2009 at 11:06 AM",28,0,Jun 25,25.06.2009,,
Online Adjunct Faculty--FDCNC 250 Foundations Capstone: Analytical Thinking and Moral Judgment,0600125,Continuing Education,0,Filled,"July 29, 2009 at 05:21 PM",37,0,Jun 25,25.06.2009,,
Online Adjunct Faculty--Bio 264 Human Anatomy & Physiology I,0600122,Continuing Education,0,Filled,"July 30, 2009 at 11:09 AM",11,0,Jun 25,25.06.2009,,
"Full-time Faculty - Agribusiness, Plant and Animal Sciences",0600226,Academic Office,0,Filled,"October 28, 2010 at 03:05 PM",3,1,Mar 31,31.03.2010,,Dependent on Education and Experience
Online Adjunct Faculty--NURS 450: Nursing Leadership,0600224,Online Learning Administration,0,Filled,"April 20, 2011 at 01:23 PM",1,0,Open Until Filled,,,
Adjunct Faculty - Nursing,,Academic Office,0,Filled,"February 02, 2010 at 08:33 AM",3,0,Open Until Filled,,,Dependent on Education and Experience
Student Recruitment Coordinator,,Admissions,0,Filled,"July 21, 2009 at 10:20 AM",16,1,Jun 30,30.06.2009,1,"Pay scale begins at $44,000/yr"
Adjunct Faculty - Music,,Academic Office,0,Filled,"April 29, 2013 at 12:31 PM",31,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDREL 211 New Testament,0600126,Continuing Education,2,Filled,"May 01, 2015 at 03:47 PM",37,0,Jun 25,25.06.2009,,
Adjunct Faculty - Art,,Academic Office,0,Filled,"April 30, 2013 at 11:59 AM",22,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--ENG 106 Basic Writing,0600130,Continuing Education,0,Filled,"July 29, 2009 at 05:32 PM",45,1,Jun 25,25.06.2009,,
Online Adjunct Faculty--FDMAT 108 Math for the Real World,0600133,Online Learning Administration,0,Filled,"July 29, 2009 at 05:37 PM",22,1,Jun 25,25.06.2009,,
Adjunct Faculty - Art,,Academic Office,0,Filled,"February 02, 2010 at 08:26 AM",2,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDAMF 101 American Foundations,0600132,Online Learning Administration,0,Filled,"July 30, 2009 at 10:19 AM",31,0,Jun 25,25.06.2009,,
HVAC Supervisor,0600236,HVAC Shop,0,Filled,"May 25, 2010 at 12:21 PM",14,0,Mar 29,29.03.2010,1,"Pay scale begins at $57,000/yr"
Online Adjunct Faculty--FDENG 101,,Online Learning Administration,0,Filled,"January 04, 2012 at 02:29 PM",1,0,Jul 03,03.07.2009,,Paid $750 per course credit hour
Plumber/Pipefitter,0600237,Mechanical / Plumbing,0,Filled,"April 19, 2010 at 10:34 AM",26,0,Mar 29,29.03.2010,1,"Pay scale begins at $44,950/yr"
Cook,0600145,University Food Services,0,Filled,"August 19, 2009 at 10:28 AM",21,1,Jul 20,20.07.2009,1,"Pay scale begins at $11.00/hr minimum, experience considered in offer"
Baker,0600146,University Food Services,0,Filled,"September 11, 2009 at 03:59 PM",21,0,Jul 20,20.07.2009,1,Pay scale begins at $12.22/hr minimum
Adjunct Faculty - Teacher Education,,Academic Office,0,Filled,"April 29, 2013 at 12:32 PM",24,0,Open Until Filled,,,Dependent on Education and Experience
Full-time Faculty - Music,0600240,Academic Office,0,Filled,"October 28, 2010 at 03:02 PM",9,0,Apr 18,18.04.2010,,Dependent on education and experience.
Online Adjunct Faculty--CHILD 210 Child Development,0600131,Online Learning Administration,1,Filled,"July 30, 2009 at 10:58 AM",48,1,Jun 25,25.06.2009,,
Adjunct Faculty - Music,,Academic Office,0,Filled,"February 02, 2010 at 08:33 AM",2,0,Open Until Filled,,,Dependent on Education and Experience
Temporary Faculty - Home and Family,0600243,Academic Office,0,Filled,"October 28, 2010 at 02:57 PM",2,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDWLD 200 World Foundations II,0600141,Online Learning Administration,0,Filled,"July 30, 2009 at 10:29 AM",15,0,Jun 25,25.06.2009,,
Adjunct Faculty - Mathematics,0600143,Academic Office,0,Cancelled,"September 22, 2009 at 02:51 PM",1,0,Open Until Filled,,,Dependent on Education and Experience
Office Assistant I,0600245,Online Instruction,0,Filled,"June 16, 2010 at 09:06 AM",36,2,Apr 15,15.04.2010,1,"Payscale begins at $26,000/yr"
Online Adjunct Faculty--FDREL 200 Family Foundations,0600138,Online Learning Administration,0,Filled,"July 29, 2009 at 05:41 PM",33,1,Jun 25,25.06.2009,,
Adjunct Faculty - Chemistry,,Academic Office,0,Filled,"April 29, 2013 at 12:25 PM",5,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDMAT 221 Business Statistics,0600134,Online Learning Administration,0,Filled,"July 30, 2009 at 11:18 AM",14,0,Jun 25,25.06.2009,,
Office Assistant I,,Home & Family,0,Filled,"August 19, 2009 at 10:20 AM",3,0,Aug 03,03.08.2009,.75,Payscale starts at $12.22/hr; employees should consult with HR for more specific information
Head Resident,0600147,Housing & Student Living,0,Filled,"September 11, 2009 at 03:58 PM",47,0,Jul 21,21.07.2009,.70,Stipend of $765/month plus 2 bdr apartment (utilitites & local phone included)
Pathway Manager,0600244,Online Learning Administration,0,Filled,"June 16, 2010 at 08:46 AM",83,2,Apr 21,21.04.2010,1,"Pay scale begins at a minimum of $57,000/yr"
Office Assistant II,,Performing & Visual Arts,0,Filled,"August 24, 2009 at 11:10 AM",8,0,Aug 03,03.08.2009,.83,Pay scale begins at $15.00/hr; employees should consult with HR for more specific information
Boiler Operator/Mechanic,0600149,Heating Plant,0,Filled,"September 30, 2009 at 10:33 AM",18,0,Sep 02,02.09.2009,1,"Pay scale begins at $39,000/year; experience considered for offer"
Adjunct Faculty - Design & Construction Management,,Academic Office,0,Filled,"April 29, 2013 at 12:29 PM",4,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--(Test)Business,,Online Learning Administration,0,Cancelled,"July 27, 2011 at 02:55 PM",0,0,Open Until Filled,,,
Transfer Evaluation Specialist,0600150,Student Records & Registration,0,Filled,"September 11, 2009 at 03:58 PM",100,2,Aug 19,19.08.2009,1,Pay scale begins at $12.22/hr
Adjunct Faculty - Psychology,,Academic Office,0,Filled,"February 02, 2010 at 08:34 AM",3,0,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Mathematics,,Academic Office,0,Filled,"February 02, 2010 at 08:33 AM",2,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty-- ID 160: Arch Drafting and Detailing,0600259,Online Learning Administration,0,Filled,"April 21, 2011 at 03:17 PM",13,0,Open Until Filled,,,
Apprentice Electrician,0600262,Electrical Shop,0,Filled,"June 16, 2010 at 08:31 AM",11,0,May 26,26.05.2010,.75,Pay scale begins at $13.85/hr
Research & Development Manager,0600264,Curriculum Development,0,Filled,"July 22, 2010 at 10:05 AM",13,0,Jun 21,21.06.2010,1,"Pay scale begins at a minimum of $57,000/yr"
Course & Media Development Manager,0600265,Curriculum Development,0,Filled,"July 27, 2010 at 05:05 PM",11,1,Jun 21,21.06.2010,1,"Payscale begins at $57,000/yr"
Cook,0600251,University Food Services,0,Filled,"June 16, 2010 at 08:22 AM",31,0,May 13,13.05.2010,1,Pay scale minimum starts at $11.28/hr
Online Adjunct Faculty--ACCTG 180: Survey of Accounting,0600156,Online Learning Administration,0,Filled,"April 21, 2011 at 03:02 PM",72,3,Open Until Filled,,,
Travel Services Coordinator,,University Operations,0,Filled,"October 14, 2009 at 09:54 AM",6,0,Sep 03,03.09.2009,1,"Pay scale begins at $44,160/year"
Online Adjunct Faculty--BIO 265: Anat & Phys II,0600160,Online Learning Administration,0,Filled,"April 21, 2011 at 03:09 PM",43,2,Open Until Filled,,,
Temporary Faculty - English,0600144,Academic Office,0,Cancelled,"September 22, 2009 at 02:26 PM",2,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDAMF 101: American Foundations,0600168,Online Learning Administration,0,Filled,"April 21, 2011 at 03:10 PM",77,2,Open Until Filled,,,
Head Resident,0600266,Housing & Student Living,0,Filled,"June 18, 2010 at 12:57 PM",29,1,Jun 06,06.06.2010,.70,Monthly stipend of $765; 2 bdr apartment (with utilities and local phone)
Online Adjunct Faculty--FAML 160: Family Relations,0600166,Online Learning Administration,3,Filled,"April 21, 2011 at 03:04 PM",107,3,Open Until Filled,,,
HVAC Facilities Technician,0600269,HVAC Shop,0,Filled,"July 29, 2010 at 12:43 PM",19,0,Jun 24,24.06.2010,1,"Payscale begins at a minimum $39,900/yr"
Online Adjunct Faculty--ACCTG 180: Survey of Accounting,0600154,Online Learning Administration,0,Cancelled,"February 10, 2017 at 11:49 AM",0,0,Oct 02,02.10.2010,,
Online Adjunct Faculty--FAML 220: Parenting,0600167,Online Learning Administration,3,Filled,"March 18, 2011 at 04:07 PM",87,0,Open Until Filled,,,
Student Recruitment Coordinator,0600306,Admissions,0,Filled,"January 27, 2011 at 04:27 PM",92,3,Sep 27,27.09.2010,1,"Payscale begins at a minimum of $44,900/yr"
Adjunct Faculty - Dance,,Academic Office,0,Filled,"April 29, 2013 at 12:28 PM",3,0,Open Until Filled,,,Dependent on experience and education
Petitions Specialist,,Student Records & Registration,0,Filled,"June 30, 2010 at 08:43 AM",4,0,Jun 18,18.06.2010,1,
Admissions Coordinator,0600305,Admissions,0,Filled,"December 08, 2010 at 04:02 PM",107,1,Sep 27,27.09.2010,1,"Payscale begins at a minimum of $44,900/yr"
Online Adjunct Faculty--SOC 111: Introduction to Sociology,0600277,Online Learning Administration,0,Filled,"April 21, 2011 at 03:13 PM",1,0,Open Until Filled,,,
Online Adjunct Faculty--Math 100G: Personal Finance,0600187,Online Learning Administration,0,Filled,"April 20, 2011 at 01:34 PM",102,1,Open Until Filled,,,
Online Adjunct Faculty--FDSCI 201: Natural Disasters,0600178,Online Learning Administration,0,Filled,"April 06, 2011 at 02:34 PM",27,0,Open Until Filled,,,
Online Adjunct Faculty--FDREL 121: Book of Mormon I,0600172,Online Learning Administration,0,Filled,"March 18, 2011 at 04:45 PM",150,4,Open Until Filled,,,
Online Adjunct Faculty -- ENG 252: Fund of Research & Presentation,0600278,Online Learning Administration,0,Filled,"April 21, 2011 at 03:12 PM",1,0,Open Until Filled,,,
Online Adjunct Faculty--ART 117: Design and Color,0600158,Online Learning Administration,0,Filled,"April 21, 2011 at 03:27 PM",44,1,Open Until Filled,,,
Online Adjunct Faculty--FDENG 101: Writing Foundations,0600170,Online Learning Administration,0,Filled,"March 18, 2011 at 05:26 PM",120,3,Open Until Filled,,,
Online Adjunct Faculty--NURS 338: Nursing Research,0600274,Online Learning Administration,0,Filled,"April 21, 2011 at 03:30 PM",6,2,Open Until Filled,,,
Get Prepared/Communications Manager,0600283,Student Support,0,Cancelled,"December 08, 2010 at 04:20 PM",21,3,Jul 20,20.07.2010,1,"Pay scale begins at a minimum of $50,650/yr"
Online Adjunct Faculty--B 370: Human Resource Management,0600159,Online Learning Administration,0,Filled,"April 21, 2011 at 03:07 PM",105,2,Open Until Filled,,,
Online Adjunct Faculty--COMM 111: Writing for Comm Careers,0600162,Online Learning Administration,0,Filled,"April 20, 2011 at 01:27 PM",80,0,Open Until Filled,,,
Cook,0600153,University Food Services,0,Filled,"October 16, 2009 at 08:29 AM",17,2,Sep 28,28.09.2009,1,Pay scale begins at $11.00/hr; experience considered for offer
Online Adjunct Faculty--GS 101: Personal Achievement,0600181,Online Learning Administration,0,Filled,"April 20, 2011 at 01:30 PM",127,5,Open Until Filled,,,
Online Adjunct Faculty--COMM 102: Public Speaking,0600161,Online Learning Administration,0,Filled,"April 21, 2011 at 03:11 PM",129,4,Open Until Filled,,,
Online Adjunct Faculty--FDMAT 221 Business Statistics,0600189,Online Learning Administration,0,Filled,"April 21, 2011 at 03:25 PM",38,1,Open Until Filled,,,
Online Adjunct Faculty--FDCNC 250: Foundations Capstone,0600169,Online Learning Administration,0,Filled,"March 18, 2011 at 04:14 PM",59,2,Open Until Filled,,,
Online Adjunct Faculty--FDMAT 108: Math for the Real World,0600171,Online Learning Administration,0,Filled,"April 21, 2011 at 03:25 PM",76,1,Open Until Filled,,,
Online Adjunct Faculty--FDREL 324: Doctrine & Covenants,0600176,Online Learning Administration,1,Filled,"February 26, 2016 at 01:23 PM",68,0,Open Until Filled,,,
Student Honor Administrator,0600191,Student Honor Office,0,Filled,"November 23, 2009 at 03:42 PM",97,1,Oct 28,28.10.2009,1,"Payscale starts at $56,000/yr"
Office Assistant I,0600311,University Security & Safety,0,Filled,"October 13, 2010 at 07:28 PM",45,1,Sep 23,23.09.2010,1,Pay scale begins at a minimum of $12.51/hr; employees should meet with HR for specific information
Online Adjunct Faculty--HFED 340: Money Management,0600183,Online Learning Administration,0,Filled,"April 20, 2011 at 01:32 PM",82,0,Open Until Filled,,,
Online Adjunct Faculty--FDSCI 203: Environmental Stewardship,0600179,Online Learning Administration,1,Filled,"March 18, 2011 at 05:10 PM",44,1,Open Until Filled,,,
Custodian,0600307,Custodial Services,0,Filled,"March 07, 2011 at 04:06 PM",44,2,Sep 22,22.09.2010,1.0,Pay scale begins at $11.28/hr
Online Adjunct Faculty--FDREL 122: Book of Mormon II,0600173,Online Learning Administration,0,Filled,"March 18, 2011 at 05:01 PM",110,1,Open Until Filled,,,
Application Analyst,0600194,Information Technology,0,Filled,"January 25, 2010 at 12:55 PM",30,0,Dec 01,01.12.2009,1,"Pay scale begins at $56,000/yr; offer will consider experience/expertise"
Curriculum Development Manager,0600190,Curriculum Development,0,Filled,"November 23, 2009 at 03:43 PM",27,2,Oct 15,15.10.2009,,"Pay scale begins at $56,000/yr"
Online Adjunct Faculty--FDINT 201 Global Hotspot,0600193,Online Learning Administration,0,Filled,"April 21, 2011 at 03:24 PM",26,0,Open Until Filled,,,
Online Adjunct Faculty--PSYCH 111: Intro to Psychology,0600184,Online Learning Administration,0,Filled,"April 21, 2011 at 03:05 PM",69,1,Open Until Filled,,,
Online Adjunct Faculty--COMM 350: Group Dynamics,0600221,Online Learning Administration,0,Filled,"April 21, 2011 at 03:20 PM",39,1,Open Until Filled,,,
Full-time Faculty - Animal Science (Veterinary Technician),0600332,Academic Office,0,Filled,"April 19, 2011 at 03:56 PM",3,1,Dec 12,12.12.2010,,Dependent on education and experience.
Project Management Officer,,Information Technology,0,Filled,"December 17, 2009 at 04:49 PM",1,0,Nov 30,30.11.2009,1,"Pay scale begins at a minimum of $83,075; experience considered for offer"
Online Adjunct Faculty--FDSCI 205: Understanding DNA,0600180,Online Learning Administration,2,Filled,"April 06, 2011 at 02:35 PM",27,1,Open Until Filled,,,
Full-time Faculty - Mathematics,0600197,Academic Office,0,Filled,"October 28, 2010 at 03:53 PM",12,0,Jan 31,31.01.2010,,Dependent on education and experience.
Online Adjunct Faculty--HFED 100: Essentials of Human Nutrition,0600182,Online Learning Administration,0,Filled,"March 18, 2011 at 05:17 PM",29,0,Open Until Filled,,,
Housing Assistant,,Housing & Student Living,0,Cancelled,"October 14, 2009 at 09:51 AM",2,0,Sep 25,25.09.2009,1.0,Pay scale begins at $12.22/hr; employees should check with HR for more specific information
Full-time Faculty - Home and Family,0600200,Academic Office,0,Filled,"October 28, 2010 at 03:56 PM",20,1,Jan 31,31.01.2010,,Dependent on education and experience.
Adjunct Faculty - Mechanical Engineering,,Academic Office,0,Filled,"February 02, 2010 at 08:33 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--FDWLD 101 World Foundations,,Online Learning Administration,0,Cancelled,"July 27, 2011 at 02:54 PM",0,0,Nov 07,07.11.2009,,
Office Assistant I,,Human Performance & Recreation,0,Filled,"June 07, 2010 at 03:37 PM",1,0,Feb 07,07.02.2010,.50,Payscale begins at $12.51/hr; employees should review specific wage information with Human Resources
Temporary Faculty - English,0600213,Academic Office,0,Filled,"October 28, 2010 at 03:44 PM",12,1,Open Until Filled,,,Dependent on Education and Experience
Adjunct Faculty - Languages and International Studies,0601428,Academic Office,0,Filled,"February 05, 2015 at 02:39 PM",8,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--MATH 100G: Personal Finance,0600358,Online Learning Administration,0,Filled,"April 21, 2011 at 03:32 PM",18,0,Dec 01,01.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty--B 321: Organizational Behavior,0600361,Online Learning Administration,0,Filled,"April 21, 2011 at 03:33 PM",16,0,Dec 01,01.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty--FDREL 301: Old Testament,0600357,Online Learning Administration,1,Filled,"February 26, 2016 at 01:15 PM",24,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty--FDENG 201: Advanced Writing,0600354,Online Learning Administration,0,Filled,"March 18, 2011 at 04:19 PM",18,0,Dec 30,30.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Online Adjunct Faculty--COMM 250: Intro to Organizational Communication,0600362,Online Learning Administration,0,Filled,"March 18, 2011 at 03:46 PM",21,1,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Full-time Faculty - Health Science,0600204,Academic Office,0,Filled,"April 19, 2010 at 08:04 AM",21,1,Jan 31,31.01.2010,,Dependent on education and experience.
Scheduling Specialist,,Student Records & Registration,0,Filled,"November 24, 2009 at 08:20 AM",9,0,Nov 02,02.11.2009,1,Pay scale starts at $12.51/hr (for 2010)
Adjunct Faculty - Automotive,,Academic Office,0,Filled,"February 02, 2010 at 08:26 AM",1,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--ENG 332: British Literature - Neoclassic and Romantic,0600365,Online Learning Administration,0,Filled,"April 21, 2011 at 03:45 PM",4,0,Dec 31,31.12.2010,,$815 per course credit hour (most courses are 2-3 credits)
Full-time Faculty - Nursing (Clinical),0600205,Academic Office,0,Filled,"October 28, 2010 at 03:45 PM",2,0,Feb 14,14.02.2010,,Dependent on education and experience.
Full-time Faculty - Art,0600206,Academic Office,0,Filled,"October 28, 2010 at 03:41 PM",9,0,Feb 14,14.02.2010,,Dependent on education and experience.
Full-time Faculty - Sociology & Social Work,0600209,Academic Office,0,Filled,"October 28, 2010 at 03:47 PM",19,2,Feb 14,14.02.2010,,Dependent on education and experience.
Temporary Faculty - Economics,0600231,Academic Office,0,Filled,"October 28, 2010 at 03:19 PM",5,0,Open Until Filled,,,Dependent on Education and Experience
Online Adjunct Faculty--COMM 307: Media Law & Ethics,0600220,Online Learning Administration,0,Filled,"March 18, 2011 at 03:51 PM",26,0,Open Until Filled,,,
AV/Electronics Technician,0600212,Academic Technology Services,0,Filled,"April 15, 2010 at 08:57 AM",20,0,Feb 03,03.02.2010,1,"Pay scale begins at $40,000; experience considered for offer"
Online Adjunct Faculty--COMM 150: Interpersonal Theory & Practice,0600218,Online Learning Administration,0,Filled,"April 21, 2011 at 03:23 PM",44,0,Open Until Filled,,,
